"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Kingsway South",15,1435,1075,2910,1370,2065,265,94400,73600,4.3,211200,4595,4215,380,2830,56.8,8.3,8860,6730,115,0,35,600,105,40,145,375,0,35,0,135,15,2020,"Kingsway South (15)",98784.8101265823
"Stonegate-Queensway",16,4225,2485,10470,3830,4635,675,60000,46000,8.5,116200,14045,12355,1685,7380,57.7,12,25650,14875,405,0,205,3855,295,110,510,1865,45,165,10,880,160,2020,"Stonegate-Queensway (16)",98784.8101265823
"New Toronto",18,1645,1180,5160,1535,1810,160,42200,36680,15.8,76900,6190,5375,820,3505,55.4,13.2,11345,7135,185,0,230,795,95,35,320,710,15,60,75,400,40,2020,"New Toronto (18)",98784.8101265823
"Long Branch",19,1595,985,5460,1665,1650,165,52350,44240,11.2,86400,6770,5995,780,2990,61.4,11.5,11360,7120,145,0,95,1165,80,60,360,740,15,50,25,340,0,2020,"Long Branch (19)",98784.8101265823
"Alderwood",20,2035,1110,5305,1870,2280,365,52350,44120,6.2,105200,6940,6115,825,3620,57.9,11.9,12590,7560,105,0,145,1375,90,65,395,1205,0,45,20,430,20,2020,"Alderwood (20)",98784.8101265823
"Humber Summit",21,1840,1685,4655,1595,2410,410,34700,30800,12.2,84300,5770,4770,1005,4575,46.1,17.4,12185,4615,15,0,510,120,20,30,2630,2135,0,35,130,55,105,2020,"Humber Summit (21)",98784.8101265823
"Humbermede",22,3025,2355,7110,2055,2415,320,37760,33400,13.3,79000,8220,6880,1335,5710,49.4,16.2,16950,7170,115,0,570,150,25,20,1825,2715,0,110,480,210,45,2020,"Humbermede (22)",98784.8101265823
"Pelmo Park-Humberlea",23,1690,1360,4820,1655,1770,265,52500,44200,7.7,97300,5970,5145,825,3630,53.6,13.8,11285,5515,50,0,190,110,30,75,305,2340,0,40,140,285,35,2020,"Pelmo Park-Humberlea (23)",98784.8101265823
"Black Creek",24,4005,3085,8255,2790,3010,345,31280,28560,19.4,68300,9045,7290,1760,8090,42.5,19.5,21140,9780,120,0,1825,215,35,10,530,2170,0,55,680,680,130,2020,"Black Creek (24)",98784.8101265823
"Glenfield-Jane Heights",25,4950,4355,11505,4075,5150,830,33680,30560,14.9,76300,13575,10975,2595,11495,43.8,19.1,30020,13080,90,0,855,320,35,65,695,5480,15,20,535,1110,150,2020,"Glenfield-Jane Heights (25)",98784.8101265823
"York University Heights",27,3860,4700,12305,3665,3720,585,35600,31600,13.8,77400,14995,12530,2465,9400,51.4,16.4,28255,11645,200,0,580,675,65,55,2225,2960,10,330,340,1220,790,2020,"York University Heights (27)",98784.8101265823
"Rustic",28,1625,1290,3390,1360,1715,375,37000,32800,19.1,73800,4135,3370,770,3630,43.4,18.6,9395,4810,45,0,630,85,15,35,185,2005,15,0,190,45,0,2020,"Rustic (28)",98784.8101265823
"Maple Leaf",29,1455,1115,4005,1420,1835,450,39300,34400,9,90200,4985,4245,740,3400,50.6,14.8,9840,4150,70,0,180,135,20,35,525,2805,0,15,0,80,20,2020,"Maple Leaf (29)",98784.8101265823
"Brookhaven-Amesbury",30,3065,2375,7135,2485,2430,360,38960,34120,13.8,78200,8470,7015,1455,5960,48.6,17.2,17495,8555,80,15,520,155,55,25,680,3285,10,15,280,390,140,2020,"Brookhaven-Amesbury (30)",98784.8101265823
"Yorkdale-Glen Park",31,2060,2175,7355,2055,2965,600,43760,38040,12.2,81800,8900,7480,1425,5670,51.4,16,16625,6845,130,0,230,445,35,120,580,4200,10,105,120,585,55,2020,"Yorkdale-Glen Park (31)",98784.8101265823
"Englemount-Lawrence",32,4310,2910,8015,2450,3605,615,65300,50600,13.4,100600,10165,8890,1280,6820,52.4,12.6,21290,12010,160,0,715,730,405,135,280,1355,30,30,95,405,90,2020,"Englemount-Lawrence (32)",98784.8101265823
"Clanton Park",33,2845,2135,7885,2210,2545,270,55250,44640,10.6,99400,10055,8830,1220,4725,59.8,12.1,17625,9130,160,0,355,770,180,140,435,1330,25,180,65,630,185,2020,"Clanton Park (33)",98784.8101265823
"Bathurst Manor",34,2275,1920,6700,2240,2820,490,44040,38040,11.4,91500,8880,7765,1120,4795,56.8,12.6,15955,6820,135,0,440,1570,95,210,675,1550,0,335,45,635,385,2020,"Bathurst Manor (34)",98784.8101265823
"Westminster-Branson",35,3385,2890,10475,3630,5310,830,40600,35600,13.7,80400,13620,11510,2110,8700,51.6,15.5,25705,7800,185,0,610,5275,205,35,1295,1180,30,595,55,550,320,2020,"Westminster-Branson (35)",98784.8101265823
"Newtonbrook West",36,2605,2970,10545,3365,4305,640,40680,34920,15.3,81800,13110,11305,1800,8090,53.3,13.7,23810,6455,170,0,500,2565,110,105,2580,1255,70,1855,20,2020,235,2020,"Newtonbrook West (36)",98784.8101265823
"Willowdale West",37,1770,1930,7945,2080,3435,445,47920,40360,19.2,85600,9340,8215,1125,6055,53.4,12,17165,5700,105,0,260,1175,170,95,2165,800,110,1595,25,3280,120,2020,"Willowdale West (37)",98784.8101265823
"Lansing-Westgate",38,2325,1915,7290,1940,2435,335,63450,50520,11.8,115200,9135,8090,1050,4455,59.5,11.5,15915,7800,125,0,255,905,195,80,1235,795,55,630,25,1480,90,2020,"Lansing-Westgate (38)",98784.8101265823
"Bedford Park-Nortown",39,3985,2980,7485,3320,4385,565,76600,59050,7.2,182600,11320,10140,1180,6840,55.9,10.4,22140,15830,290,0,390,490,320,175,530,990,25,165,15,625,60,2020,"Bedford Park-Nortown (39)",98784.8101265823
"St.Andrew-Windfields",40,2430,2280,6125,2540,3575,470,87600,70200,13,157800,8680,7745,935,5845,53.3,10.8,16955,7570,210,0,160,600,175,85,1585,805,45,445,45,3225,130,2020,"St.Andrew-Windfields (40)",98784.8101265823
"Bridle Path-Sunnybrook-York Mills",41,1315,1180,2790,1460,2185,235,195600,137200,9.1,310400,4435,4075,365,3185,53.4,8.2,8940,5490,125,0,105,310,130,60,650,255,50,75,0,1140,50,2020,"Bridle Path-Sunnybrook-York Mills (41)",98784.8101265823
"Banbury-Don Mills",42,3470,2600,10170,3985,6925,1270,69300,55450,11.1,109700,13770,12325,1445,9910,52,10.5,27150,13115,405,0,490,1255,255,395,2605,990,165,410,85,3530,140,2020,"Banbury-Don Mills (42)",98784.8101265823
"Victoria Village",43,2710,2030,6915,2365,3355,430,43280,37600,17.6,73400,8580,7135,1445,6075,48.7,16.8,17370,7925,215,0,1285,430,60,740,1995,685,35,60,115,600,45,2020,"Victoria Village (43)",98784.8101265823
"Flemingdon Park",44,4155,2910,9730,2495,3240,340,44240,38240,19.9,70600,10490,8765,1730,7885,47.7,16.5,22525,6735,245,0,1310,1400,65,385,5335,630,20,220,135,910,240,2020,"Flemingdon Park (44)",98784.8101265823
"Pleasant View",46,1810,1885,6025,2150,3350,445,38400,33320,10.1,91300,7730,6425,1305,5680,47.9,16.9,15220,4610,110,0,605,520,65,640,1185,980,35,205,30,4075,70,2020,"Pleasant View (46)",98784.8101265823
"Don Valley Village",47,3825,3120,11535,3340,4950,660,46360,39640,13.5,85100,14030,11920,2115,8915,52,15.1,26770,8380,210,0,860,885,130,160,3520,1265,75,665,95,4895,215,2020,"Don Valley Village (47)",98784.8101265823
"Hillcrest Village",48,1940,1725,5760,2220,4695,825,44240,34680,15.6,88200,7545,6525,1025,6850,45.3,13.6,16340,4700,80,0,205,350,110,95,1385,575,45,530,30,6300,120,2020,"Hillcrest Village (48)",98784.8101265823
"Bayview Woods-Steeles",49,1315,1390,4220,1755,3425,500,61650,50760,11.9,100300,5795,5015,775,4975,46.6,13.4,12085,4225,160,0,165,310,130,140,1430,455,15,565,35,3385,40,2020,"Bayview Woods-Steeles (49)",98784.8101265823
"Newtonbrook East",50,1570,1730,6760,2160,3120,430,43680,37320,17.7,90100,8235,7155,1080,5540,52,13.1,15345,3995,60,0,120,420,85,75,2760,745,25,1500,55,3495,110,2020,"Newtonbrook East (50)",98784.8101265823
