"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Centennial Scarborough",133,2145,1675,4845,1985,2735,240,61700,51100,4.4,125400,6855,6060,795,4385,53.9,11.6,13385,9105,105,0,100,350,90,100,770,440,15,50,45,520,40,3540,155,485,130,105,0,2020,"Centennial Scarborough (133)",98784.8101265823
"Church-Wellesley",167,895,3475,13485,2360,2105,155,53800,44160,23.3,64800,15725,13265,2455,5695,61.9,15.6,22320,10620,575,0,515,895,155,60,1710,1300,150,700,40,2955,165,0,25,135,0,860,13645,2020,"Church-Wellesley (167)",98784.8101265823
"Clairlea-Birchmount",120,4495,3350,11615,3715,3660,475,47200,40320,11.5,90000,14005,11925,2085,8330,53.4,14.9,26835,12420,275,0,1100,585,65,395,4385,910,75,115,140,1485,55,3170,1110,1185,635,1300,1940,2020,"Clairlea-Birchmount (120)",98784.8101265823
"Clanton Park",33,2845,2135,7885,2210,2545,270,55250,44640,10.6,99400,10055,8830,1220,4725,59.8,12.1,17625,9130,160,0,355,770,180,140,435,1330,25,180,65,630,185,2375,0,15,535,1140,3080,2020,"Clanton Park (33)",98784.8101265823
"Cliffcrest",123,2510,2105,5930,2625,2950,350,45400,38840,11.1,97800,8150,6900,1250,5470,50.7,15.3,16135,9855,115,0,245,355,115,150,2060,475,20,55,90,430,25,3395,65,485,420,145,1290,2020,"Cliffcrest (123)",98784.8101265823
"Corso Italia-Davenport",92,1850,1260,6325,1665,2095,355,48880,40240,8.8,96600,7600,6740,860,3755,59.4,11.3,13200,7020,155,0,115,200,85,110,130,3920,65,30,50,200,20,1220,1260,115,530,2010,0,2020,"Corso Italia-Davenport (92)",98784.8101265823
"Danforth",66,1535,800,4140,1175,1655,250,47880,40720,10.3,108200,5065,4460,610,2705,57.4,12,9310,6230,170,0,110,175,55,415,320,545,40,45,0,595,20,685,1255,35,175,1345,395,2020,"Danforth (66)",98784.8101265823
"Danforth-East York",59,3070,1435,7545,2170,2840,370,54200,45120,9.3,104900,9430,8385,1045,4560,59.9,11.1,17065,10825,400,0,150,500,135,1145,460,795,50,50,55,1030,40,2895,1750,35,490,905,845,2020,"Danforth-East York (59)",98784.8101265823
"Don Valley Village",47,3825,3120,11535,3340,4950,660,46360,39640,13.5,85100,14030,11920,2115,8915,52,15.1,26770,8380,210,0,860,885,130,160,3520,1265,75,665,95,4895,215,2100,365,1375,140,290,5960,2020,"Don Valley Village (47)",98784.8101265823
"Dorset Park",126,3780,3050,10055,3605,3810,465,39440,34640,13,79300,12200,10425,1770,8330,50.8,14.5,24310,9105,190,0,1135,270,75,430,2970,490,35,80,95,2150,40,2125,315,1595,555,425,3700,2020,"Dorset Park (126)",98784.8101265823
"Dovercourt-Wallace Emerson-Junction",93,1365,1100,6410,1530,1975,275,49080,41560,10,92300,7460,6430,1030,3555,58.4,13.8,12380,7215,185,0,115,215,75,220,230,2195,50,100,20,715,20,860,845,255,545,2615,20,2020,"Dovercourt-Wallace Emerson-Junction (93)",98784.8101265823
"Downsview-Roding-CFB",26,2555,2070,8140,2490,2715,525,45880,39720,9.6,84200,9955,8505,1445,5460,55.2,14.5,17965,7485,140,0,290,390,35,100,480,3580,0,130,55,385,340,2345,310,400,300,2750,855,2020,"Downsview-Roding-CFB (26)",98784.8101265823
"Downtown Yonge East",168,1055,2730,10340,1625,1950,165,60550,48600,22.4,76500,12140,10495,1645,4505,63.1,13.6,17695,9120,385,0,465,610,90,35,1100,840,110,445,110,2225,130,15,0,125,35,300,10555,2020,"Downtown Yonge East (168)",98784.8101265823
"Dufferin Grove",83,1210,980,6225,1175,1615,175,49480,42000,11.7,83100,7025,6020,1010,2975,60.2,14.4,11210,6695,205,0,105,230,55,25,315,1840,60,105,10,580,35,310,485,140,370,2625,1255,2020,"Dufferin Grove (83)",98784.8101265823
"East End Danforth",62,3735,2100,9995,3030,2985,230,49680,42000,11.9,96700,12405,10805,1600,5700,59.7,12.9,21845,16025,400,20,305,395,170,105,1010,755,45,130,35,715,55,1780,1970,565,525,2360,2240,2020,"East End Danforth (62)",98784.8101265823
"East L'Amoreaux",117,2915,2670,8310,3225,4365,555,36800,32360,13.5,84800,10320,8465,1850,8260,45.5,17.9,21495,6400,140,0,455,140,25,255,1140,405,15,80,105,7470,40,1675,550,1485,280,470,2725,2020,"East L'Amoreaux (117)",98784.8101265823
"East Willowdale",152,2205,2025,6310,2195,2750,295,52400,42720,16.9,108000,7510,6495,1015,5770,48.9,13.5,15480,4750,125,0,335,370,65,50,1720,400,80,865,40,5230,85,2970,60,400,230,435,1510,2020,"East Willowdale (152)",98784.8101265823
"Edenbridge-Humber Valley",9,2070,1665,5605,2380,3470,515,65400,52500,8.2,138200,8105,7130,980,5015,54.3,12.1,15190,8455,195,0,235,1895,165,130,170,2125,20,110,60,325,30,2560,85,115,30,940,2560,2020,"Edenbridge-Humber Valley (9)",98784.8101265823
"Eglinton East",138,3780,3120,8990,3090,3555,395,38200,33920,13.9,75900,10915,9060,1865,7835,48.3,17.1,22535,10710,225,0,635,325,90,245,2420,610,30,0,250,550,20,1525,150,495,560,185,5265,2020,"Eglinton East (138)",98784.8101265823
"Elms-Old Rexdale",5,1610,1320,3680,1360,1390,185,40200,35300,12.4,83600,4425,3600,820,3320,46.5,18.5,9355,4785,75,0,720,295,85,15,360,1250,0,95,160,105,0,1000,60,475,195,65,1395,2020,"Elms-Old Rexdale (5)",98784.8101265823
"Englemount-Lawrence",32,4310,2910,8015,2450,3605,615,65300,50600,13.4,100600,10165,8890,1280,6820,52.4,12.6,21290,12010,160,0,715,730,405,135,280,1355,30,30,95,405,90,1915,10,150,520,2580,2975,2020,"Englemount-Lawrence (32)",98784.8101265823
"Eringate-Centennial-West Deane",11,2640,2160,6635,3025,3985,660,59350,49040,5.6,105600,9770,8510,1255,6040,53.8,12.8,18450,9775,100,0,335,2855,170,100,640,1550,20,320,25,560,75,3910,360,630,105,75,1760,2020,"Eringate-Centennial-West Deane (11)",98784.8101265823
"Etobicoke City Centre",159,2785,1930,13510,2355,3015,310,62300,50720,13.6,80300,15295,13600,1700,5520,65.4,11.1,23595,10860,230,0,640,2295,100,65,1515,2265,85,950,125,975,90,1030,65,415,105,165,10150,2020,"Etobicoke City Centre (159)",98784.8101265823
"Etobicoke West Mall",13,1780,1285,5195,1690,1920,245,50400,43320,11,83900,6495,5575,920,3590,55.3,14.2,11860,5555,105,0,305,1560,50,35,645,870,20,205,25,320,220,970,100,210,55,55,3320,2020,"Etobicoke West Mall (13)",98784.8101265823
"Fenside-Parkwoods",150,3020,2545,8950,2820,3185,405,48040,41280,13.2,80800,11185,9430,1755,6305,53.9,15.7,20510,9155,335,0,900,640,75,175,2335,1265,60,240,135,1200,145,520,1085,440,50,925,5115,2020,"Fenside-Parkwoods (150)",98784.8101265823
"Flemingdon Park",44,4155,2910,9730,2495,3240,340,44240,38240,19.9,70600,10490,8765,1730,7885,47.7,16.5,22525,6735,245,0,1310,1400,65,385,5335,630,20,220,135,910,240,0,205,545,0,640,6805,2020,"Flemingdon Park (44)",98784.8101265823
"Forest Hill North",102,1890,1405,4980,1705,2310,265,54800,45840,10.8,126300,7125,6300,825,3280,60.5,11.6,12290,7020,145,0,560,695,145,65,215,860,25,75,25,120,60,1460,10,40,110,345,3275,2020,"Forest Hill North (102)",98784.8101265823
"Forest Hill South",101,1360,1300,4090,1425,2675,390,90700,66700,9.8,184400,6070,5530,540,3435,58.2,8.9,10865,7910,190,0,175,350,160,25,235,425,40,35,0,360,50,1635,65,35,80,1015,2235,2020,"Forest Hill South (101)",98784.8101265823
"Fort York-Liberty Village",163,1205,1325,15550,1040,795,40,78800,62100,10.3,88600,16225,14830,1390,2490,79.3,8.6,19915,11925,455,0,345,955,110,65,1250,1180,40,320,25,1080,130,0,0,180,0,400,11830,2020,"Fort York-Liberty Village (163)",98784.8101265823
"Glenfield-Jane Heights",25,4950,4355,11505,4075,5150,830,33680,30560,14.9,76300,13575,10975,2595,11495,43.8,19.1,30020,13080,90,0,855,320,35,65,695,5480,15,20,535,1110,150,410,3395,1280,365,960,3590,2020,"Glenfield-Jane Heights (25)",98784.8101265823
"Golfdale-Cedarbrae-Woburn",137,4940,3935,10605,3405,4200,510,34560,30840,16,80600,12705,10585,2120,9440,47.8,16.7,27085,11950,240,0,575,490,115,160,5515,585,25,25,105,360,20,3700,50,65,1160,325,3510,2020,"Golfdale-Cedarbrae-Woburn (137)",98784.8101265823
"Greenwood-Coxwell",65,2550,1065,6875,1750,1875,165,51700,42640,12,95400,7725,6800,925,3845,58.8,12,14120,9650,220,20,140,210,105,155,580,380,45,60,30,1335,20,965,1535,390,320,2400,400,2020,"Greenwood-Coxwell (65)",98784.8101265823
"Guildwood",140,1325,985,3335,1460,2570,455,61450,51950,5.8,100700,4845,4190,655,3505,50.2,13.5,9675,6685,150,0,100,280,115,65,540,310,45,20,55,320,0,2165,140,295,175,100,1060,2020,"Guildwood (140)",98784.8101265823
"Harbourfront-CityPlace",165,2065,2615,20360,1560,1525,145,73100,58150,14.4,87000,21900,19655,2245,4165,75.4,10.3,28130,13555,625,0,810,920,215,80,2800,1635,125,420,65,3240,145,0,0,65,0,15,16470,2020,"Harbourfront-CityPlace (165)",98784.8101265823
"Henry Farm",53,2870,2360,11050,1700,1860,145,46280,39400,17.2,77000,12015,10370,1645,4955,61.1,13.7,19835,5705,145,0,795,395,25,80,3030,1020,100,310,55,3165,115,495,0,425,20,80,7490,2020,"Henry Farm (53)",98784.8101265823
"High Park North",88,2780,1695,11375,2665,3340,400,58950,47880,11.9,92400,13730,11925,1805,5350,62.5,13.1,21850,13450,470,0,450,2240,240,120,430,1510,85,135,10,395,120,1385,655,115,340,1975,6620,2020,"High Park North (88)",98784.8101265823
"High Park-Swansea",87,3385,2060,10475,3020,3720,435,67600,55500,8.5,120100,13540,12035,1510,5735,62.4,11.2,22660,15385,400,0,155,2240,310,110,440,1200,105,120,0,465,45,2640,520,285,525,3045,3415,2020,"High Park-Swansea (87)",98784.8101265823
"Highland Creek",134,1485,1840,4465,1965,2875,225,35880,31160,6.4,114900,6585,5595,985,4560,50.2,15,12625,5885,60,0,125,395,30,100,1555,385,15,30,15,770,15,3175,10,10,570,25,0,2020,"Highland Creek (134)",98784.8101265823
"Hillcrest Village",48,1940,1725,5760,2220,4695,825,44240,34680,15.6,88200,7545,6525,1025,6850,45.3,13.6,16340,4700,80,0,205,350,110,95,1385,575,45,530,30,6300,120,1660,850,1045,165,725,1940,2020,"Hillcrest Village (48)",98784.8101265823
"Humber Bay Shores",161,1700,1370,13250,2705,3565,340,75400,59150,13.5,86600,15450,13540,1910,5455,64.8,12.4,22600,11155,450,0,600,2265,200,50,1435,1910,65,220,55,1215,150,15,0,145,0,905,12250,2020,"Humber Bay Shores (161)",98784.8101265823
"Humber Heights-Westmount",8,1370,1105,3565,1565,2385,425,51200,42680,10.2,101400,4995,4350,645,3635,50.4,12.9,10010,4620,60,0,275,1245,105,80,290,1985,0,125,50,70,25,1675,55,55,200,155,1970,2020,"Humber Heights-Westmount (8)",98784.8101265823
"Humber Summit",21,1840,1685,4655,1595,2410,410,34700,30800,12.2,84300,5770,4770,1005,4575,46.1,17.4,12185,4615,15,0,510,120,20,30,2630,2135,0,35,130,55,105,535,1760,70,85,755,715,2020,"Humber Summit (21)",98784.8101265823
"Humbermede",22,3025,2355,7110,2055,2415,320,37760,33400,13.3,79000,8220,6880,1335,5710,49.4,16.2,16950,7170,115,0,570,150,25,20,1825,2715,0,110,480,210,45,590,1165,465,90,1205,2170,2020,"Humbermede (22)",98784.8101265823
"Humewood-Cedarvale",106,2135,1345,6580,1620,2180,215,53700,41200,11.2,107700,8315,7420,895,3400,63.3,10.8,13850,9445,185,0,220,330,85,165,205,1000,75,85,25,150,45,1820,230,0,160,2320,1805,2020,"Humewood-Cedarvale (106)",98784.8101265823
"Ionview",125,2215,1550,5675,1835,2090,280,39200,34360,13.8,75400,6715,5615,1100,4435,50.4,16.4,13370,6020,95,0,565,150,50,270,1305,305,10,0,50,525,0,1020,375,155,365,255,2720,2020,"Ionview (125)",98784.8101265823
"Islington-City Centre West",14,3430,2610,9190,3495,4740,715,69000,55350,8.5,114600,12600,10965,1640,7430,54.7,13,23465,12280,270,0,755,3330,215,105,785,1675,15,435,60,635,145,4245,70,230,165,605,3970,2020,"Islington-City Centre West (14)",98784.8101265823
"Junction Area",90,2050,1205,7200,1780,1780,175,55900,46600,8.8,96700,8700,7580,1115,3265,63.4,12.8,14015,9115,175,0,280,505,135,185,270,1240,70,25,45,430,40,745,1020,600,435,2475,730,2020,"Junction Area (90)",98784.8101265823
"Junction-Wallace Emerson",171,3075,1935,12705,2560,2905,335,49640,42160,11.2,86700,14040,12070,1965,6060,60,14,23180,12620,345,10,465,445,90,105,650,4545,65,160,70,1125,80,750,1265,945,445,3950,2750,2020,"Junction-Wallace Emerson (171)",98784.8101265823
"Keelesdale-Eglinton West",110,1620,1265,4925,1655,1935,310,40080,34920,12.5,79800,5870,4990,875,3905,51.1,14.9,11390,4700,65,0,95,140,25,35,260,4295,10,60,60,170,20,1700,475,15,415,1100,675,2020,"Keelesdale-Eglinton West (110)",98784.8101265823
"Kennedy Park",124,2585,2110,6830,2675,2910,315,36160,31800,17,73400,8175,6665,1505,6345,45.9,18.4,17105,7615,85,0,570,260,45,265,2555,555,20,60,100,750,20,1815,365,135,670,670,2850,2020,"Kennedy Park (124)",98784.8101265823
"Kensington-Chinatown",78,1245,2740,9435,1890,2805,550,53850,41400,23,73200,10580,8715,1870,6290,51.6,17.7,18120,8835,310,0,390,345,105,20,595,800,90,225,15,4450,90,55,200,595,185,2820,5620,2020,"Kensington-Chinatown (78)",98784.8101265823
"Kingsview Village-The Westway",6,3915,2850,8600,2935,3705,555,44800,38360,14.7,85600,10525,8625,1900,7560,47.7,18.1,22005,10050,340,0,2210,990,55,70,1935,2465,20,130,255,410,135,2195,135,305,165,225,4760,2020,"Kingsview Village-The Westway (6)",98784.8101265823
"Kingsway South",15,1435,1075,2910,1370,2065,265,94400,73600,4.3,211200,4595,4215,380,2830,56.8,8.3,8860,6730,115,0,35,600,105,40,145,375,0,35,0,135,15,2320,80,40,25,345,665,2020,"Kingsway South (15)",98784.8101265823
"L'Amoreaux West",117,2725,2450,7830,3220,5335,975,38080,33600,15.8,80100,10180,8575,1610,8640,45.6,15.8,21545,7445,195,0,630,295,45,505,1150,735,15,140,130,5150,95,2000,375,1145,145,340,4270,2020,"L'Amoreaux West (117)",98784.8101265823
"Lambton Baby Point",114,1540,965,3220,1015,1215,165,57600,46500,12,123500,4165,3615,550,2260,56.3,13.2,7965,5375,105,0,145,735,105,45,120,455,15,30,30,105,0,1270,535,15,100,500,680,2020,"Lambton Baby Point (114)",98784.8101265823
"Lansing-Westgate",38,2325,1915,7290,1940,2435,335,63450,50520,11.8,115200,9135,8090,1050,4455,59.5,11.5,15915,7800,125,0,255,905,195,80,1235,795,55,630,25,1480,90,2380,35,10,190,640,3285,2020,"Lansing-Westgate (38)",98784.8101265823
"Lawrence Park North",105,2965,1815,5795,1910,2180,245,81900,62400,5.6,185200,7890,7030,860,3815,60.1,10.9,14675,10890,155,0,100,370,155,125,375,610,15,130,0,915,80,3195,925,25,175,950,185,2020,"Lawrence Park North (105)",98784.8101265823
"Lawrence Park South",103,2450,2215,5540,2160,2605,300,90900,71300,7.2,231000,7955,7175,780,4550,57.4,9.8,14955,11195,285,0,175,450,125,60,360,450,40,85,0,610,60,3395,95,30,250,955,1060,2020,"Lawrence Park South (103)",98784.8101265823
"Leaside-Bennington",56,2905,2210,6080,2570,2760,345,74400,59850,5.8,191200,8925,7935,1000,4700,58.2,11.2,16540,12835,270,0,80,340,220,160,360,530,45,155,10,580,70,3570,795,100,45,1410,515,2020,"Leaside-Bennington (56)",98784.8101265823
"Little Portugal",84,1500,1235,9725,1235,1795,245,60600,49440,10.8,88900,10615,9270,1345,3365,66.3,12.7,15480,9425,310,0,160,435,70,25,270,2435,45,115,0,770,50,265,455,625,255,2690,3560,2020,"Little Portugal (84)",98784.8101265823
"Long Branch",19,1595,985,5460,1665,1650,165,52350,44240,11.2,86400,6770,5995,780,2990,61.4,11.5,11360,7120,145,0,95,1165,80,60,360,740,15,50,25,340,0,1545,95,80,240,2005,1310,2020,"Long Branch (19)",98784.8101265823
"Malvern East",146,3915,3560,10550,3550,4525,425,38360,33720,11.7,86600,13145,11020,2130,9035,49.7,16.2,26095,12750,235,0,365,175,40,15,3010,410,10,75,180,1535,15,2250,645,2150,730,320,2435,2020,"Malvern East (146)",98784.8101265823
"Malvern West",145,2830,2570,7015,2370,2520,160,39320,34440,9.7,88800,8880,7325,1550,5610,50.6,17.5,17320,6805,105,0,365,80,20,25,3405,215,0,0,165,890,20,1215,655,1405,545,305,930,2020,"Malvern West (145)",98784.8101265823
"Maple Leaf",29,1455,1115,4005,1420,1835,450,39300,34400,9,90200,4985,4245,740,3400,50.6,14.8,9840,4150,70,0,180,135,20,35,525,2805,0,15,0,80,20,1625,185,100,195,620,880,2020,"Maple Leaf (29)",98784.8101265823
"Markland Wood",12,1315,1105,3435,1745,2765,510,61350,51080,6,115500,5215,4580,635,3835,50.6,12.2,10370,5765,90,0,80,2180,180,85,160,540,15,90,0,245,35,1770,0,280,40,155,1975,2020,"Markland Wood (12)",98784.8101265823
"Milliken",130,3225,2450,8980,3770,5555,775,30720,27600,14.6,84700,10640,8615,2020,10120,41.5,19,23985,5320,20,0,60,45,20,100,730,190,15,25,0,13835,20,3885,555,615,460,90,1945,2020,"Milliken (130)",98784.8101265823
"Mimico-Queensway",160,2395,1325,8165,2465,2695,275,54150,45160,12.4,90900,10095,8920,1175,4560,60.9,11.6,17045,9925,255,0,250,1635,120,60,560,1200,65,95,25,1015,35,2335,310,780,345,2325,1770,2020,"Mimico-Queensway (160)",98784.8101265823
"Morningside",135,2920,2445,7100,2310,2885,285,34680,31080,12.4,86600,8840,7450,1390,5895,50.5,15.7,17655,8540,160,0,390,200,100,90,1775,320,15,70,160,580,20,2270,40,945,310,210,2100,2020,"Morningside (135)",98784.8101265823
"Morningside Heights",144,4080,3640,9895,3630,3705,295,36600,32200,5.7,110800,13210,11235,1975,7650,53.9,15,24940,9885,85,0,255,75,10,0,2980,205,0,0,40,775,30,3885,705,1170,725,25,0,2020,"Morningside Heights (144)",98784.8101265823
"Moss Park",73,1570,2360,13050,2350,2165,100,58750,46920,23.3,75800,14405,12295,2105,5520,61.7,14.6,21490,12165,555,15,1025,725,135,35,1100,1130,110,235,210,1480,140,50,110,755,95,2430,9815,2020,"Moss Park (73)",98784.8101265823
"Mount Dennis",115,2145,1635,5580,1940,1755,160,41560,36440,14.9,72800,6735,5475,1260,4170,50.2,18.7,13055,6665,95,0,525,205,45,0,220,2350,60,80,230,235,100,965,125,360,180,1035,2390,2020,"Mount Dennis (115)",98784.8101265823
"Mount Olive-Silverstone-Jamestown",2,5690,4955,12840,3690,4170,450,33920,30480,15.6,78200,14360,11830,2535,11300,46.1,17.7,31345,12615,105,0,4100,250,30,20,6110,1640,10,65,910,245,50,1640,155,1060,760,90,6040,2020,"Mount Olive-Silverstone-Jamestown (2)",98784.8101265823
"Mount Pleasant East",99,2780,1760,6895,2150,2785,280,65600,52650,8.3,132800,9330,8345,990,4255,61.4,10.6,16370,11620,265,0,175,610,175,105,440,835,50,210,0,490,40,2145,1575,140,170,980,2155,2020,"Mount Pleasant East (99)",98784.8101265823
"New Toronto",18,1645,1180,5160,1535,1810,160,42200,36680,15.8,76900,6190,5375,820,3505,55.4,13.2,11345,7135,185,0,230,795,95,35,320,710,15,60,75,400,40,1555,195,285,180,1900,1150,2020,"New Toronto (18)",98784.8101265823
"Newtonbrook East",50,1570,1730,6760,2160,3120,430,43680,37320,17.7,90100,8235,7155,1080,5540,52,13.1,15345,3995,60,0,120,420,85,75,2760,745,25,1500,55,3495,110,2800,25,35,405,340,2560,2020,"Newtonbrook East (50)",98784.8101265823
"Newtonbrook West",36,2605,2970,10545,3365,4305,640,40680,34920,15.3,81800,13110,11305,1800,8090,53.3,13.7,23810,6455,170,0,500,2565,110,105,2580,1255,70,1855,20,2020,235,2550,640,560,340,600,4390,2020,"Newtonbrook West (36)",98784.8101265823
"North Riverdale",68,1790,1110,4720,1735,1935,160,65100,52000,8.3,127900,6345,5760,580,3160,60.6,9.1,11290,8560,200,0,65,195,130,275,110,270,30,45,0,785,0,805,1375,360,265,1390,685,2020,"North Riverdale (68)",98784.8101265823
"North St. James Town",74,2165,1915,10310,2240,1900,150,44480,38040,21.9,63600,10940,9030,1910,5430,55.2,17.5,18540,7535,335,0,1075,435,65,45,1905,930,80,250,70,635,155,10,0,110,20,530,8855,2020,"North St. James Town (74)",98784.8101265823
"North Toronto",173,1315,1425,9915,1435,1790,235,59700,49160,18.5,70900,10870,9465,1415,3695,65,13,15885,7410,260,0,365,895,120,35,1475,1675,75,450,20,765,250,15,15,45,0,875,8475,2020,"North Toronto (173)",98784.8101265823
"O`Connor Parkview",54,2905,2180,7485,2740,3090,415,47480,40720,13.6,88000,9300,7710,1585,6205,49.7,17,18405,10625,275,0,625,720,135,925,1280,620,20,60,145,410,75,3020,170,160,250,1505,2350,2020,"O`Connor Parkview (54)",98784.8101265823
"Oakdale-Beverley Heights",154,3795,2755,8870,2830,3150,525,37640,31280,14.4,78000,10780,8960,1820,6840,50.8,16.9,21415,10110,75,0,605,260,50,40,355,4140,10,30,655,295,135,2150,745,430,275,1115,2935,2020,"Oakdale-Beverley Heights (154)",98784.8101265823
"Oakridge",121,2565,1780,5905,1755,1700,190,35080,31520,22.5,64900,6080,4800,1280,5055,43.1,21.1,13700,5935,225,0,895,95,20,65,3140,315,35,20,140,610,40,1080,150,200,470,240,3160,2020,"Oakridge (121)",98784.8101265823
"Oakwood Village",107,3075,2070,9200,2705,3665,500,43040,37600,12,85700,11445,10005,1440,6190,56.7,12.6,20710,11085,205,0,570,420,115,305,240,4060,30,105,20,550,70,2765,1290,15,655,2370,1535,2020,"Oakwood Village (107)",98784.8101265823
"Old East York",58,1420,935,3735,1410,1670,225,51120,43120,8.3,102700,4960,4360,605,2780,56.3,12.2,9160,5695,120,0,75,325,80,890,235,375,30,40,0,290,25,2210,195,0,375,435,510,2020,"Old East York (58)",98784.8101265823
"Palmerston-Little Italy",80,1195,1345,7150,1360,2070,365,53300,44320,10.9,103900,8550,7590,960,3375,63.6,11.2,13125,8625,225,0,130,295,160,140,120,1655,40,90,10,640,45,380,990,320,390,3670,315,2020,"Palmerston-Little Italy (80)",98784.8101265823
"Parkwoods-O'Connor Hills",149,2285,1875,5360,2015,2420,355,53350,44760,10.7,104400,7255,6070,1180,4425,52,16.3,13965,7805,185,0,465,325,125,300,1010,830,50,220,35,810,75,1980,300,835,40,235,1650,2020,"Parkwoods-O'Connor Hills (149)",98784.8101265823
"Pelmo Park-Humberlea",23,1690,1360,4820,1655,1770,265,52500,44200,7.7,97300,5970,5145,825,3630,53.6,13.8,11285,5515,50,0,190,110,30,75,305,2340,0,40,140,285,35,1830,545,260,290,270,715,2020,"Pelmo Park-Humberlea (23)",98784.8101265823
"Playter Estates-Danforth",67,1090,720,3305,1070,1490,155,57250,45080,10.7,109700,4365,3755,610,2225,57,14,7685,5550,185,0,90,225,120,380,85,320,25,50,0,150,30,625,590,65,185,1070,1085,2020,"Playter Estates-Danforth (67)",98784.8101265823
"Pleasant View",46,1810,1885,6025,2150,3350,445,38400,33320,10.1,91300,7730,6425,1305,5680,47.9,16.9,15220,4610,110,0,605,520,65,640,1185,980,35,205,30,4075,70,1015,1835,255,100,760,1450,2020,"Pleasant View (46)",98784.8101265823
"Princess-Rosethorn",10,1750,1445,3725,1940,2310,325,87200,67600,5.6,164200,5880,5215,670,3545,55.4,11.4,11175,7040,100,0,105,955,100,80,290,995,15,175,0,310,30,3330,10,50,40,20,445,2020,"Princess-Rosethorn (10)",98784.8101265823
"Regent Park",72,1745,1715,6550,1485,1250,120,55150,45560,22.9,70500,6810,5620,1180,4205,51,17.3,12755,5870,275,0,700,195,35,10,1510,565,25,105,120,945,45,30,60,500,10,600,4850,2020,"Regent Park (72)",98784.8101265823
"Rexdale-Kipling",4,1575,1230,4185,1530,1850,230,37040,32960,13.5,79200,5305,4560,740,3495,51.8,13.9,10380,5540,70,0,410,465,55,45,915,1095,10,0,140,120,90,1765,30,405,470,640,630,2020,"Rexdale-Kipling (4)",98784.8101265823
"Rockcliffe-Smythe",111,3325,2425,9120,3270,4095,485,40360,35360,15.8,75700,10745,9220,1525,8165,48.8,14.2,22240,10520,195,0,920,1040,120,140,340,5195,20,60,135,575,80,2775,1135,215,395,1220,3275,2020,"Rockcliffe-Smythe (111)",98784.8101265823
"Roncesvalles",86,2130,1190,7615,1785,1900,205,56400,46400,12.5,98000,8815,7820,995,3675,62.6,11.3,14615,10160,260,0,145,770,190,20,185,725,35,65,100,660,0,690,1015,325,375,2725,1640,2020,"Roncesvalles (86)",98784.8101265823
"Rosedale-Moore Park",98,2395,2030,7000,3060,5595,690,122000,85100,8.8,208600,10455,9470,985,7230,53.5,9.4,20080,14630,460,0,180,675,355,95,555,920,80,85,25,695,105,2425,485,265,305,1445,4955,2020,"Rosedale-Moore Park (98)",98784.8101265823
"Rouge",131,3010,2510,7690,3160,4295,335,51200,43680,6.2,109900,10670,9125,1545,6995,51.7,14.5,20675,13365,155,0,285,260,160,70,1755,470,15,40,100,490,0,3780,505,785,335,540,1080,2020,"Rouge (131)",98784.8101265823
"Runnymede-Bloor West Village",89,2005,990,4340,1375,1405,170,67400,54700,5.1,136000,5705,5145,560,2410,63.4,9.8,10125,7685,185,0,120,660,110,85,75,450,20,20,10,190,0,2010,770,50,235,755,0,2020,"Runnymede-Bloor West Village (89)",98784.8101265823
"Rustic",28,1625,1290,3390,1360,1715,375,37000,32800,19.1,73800,4135,3370,770,3630,43.4,18.6,9395,4810,45,0,630,85,15,35,185,2005,15,0,190,45,0,1130,205,0,110,160,1920,2020,"Rustic (28)",98784.8101265823
"Scarborough Village",139,3110,2240,6710,2205,2270,245,40000,31840,17.1,76000,7620,6270,1355,5795,46.7,17.8,16520,7795,230,0,415,260,65,65,2775,465,20,20,215,335,30,1095,35,305,155,345,4030,2020,"Scarborough Village (139)",98784.8101265823
"South Eglinton-Davisville",174,2190,1690,13640,2175,3055,325,67200,53750,15.3,82100,15070,13475,1595,5475,65.6,10.6,22735,11945,445,0,460,1145,190,100,1785,2015,105,645,50,905,150,475,135,145,130,990,11295,2020,"South Eglinton-Davisville (174)",98784.8101265823
"South Parkdale",85,1920,1845,11920,2420,2400,190,44720,38560,20.2,64300,12810,10595,2210,5770,57,17.3,20500,11340,340,10,690,1070,155,55,685,1155,25,75,95,1840,95,195,180,330,195,3110,7275,2020,"South Parkdale (85)",98784.8101265823
"South Riverdale",70,3930,2080,15060,3375,3370,320,66100,52400,11.7,105500,17350,15095,2255,6530,63.2,13,27810,19060,555,10,300,450,170,105,570,695,95,85,65,3555,20,890,2495,1585,740,4065,2865,2020,"South Riverdale (70)",98784.8101265823
